control,value
E_CUSTOMER rows,1000
E_CONTRAT_CREDIT rows,2426
E_ENCOURS rows,2239
Active exposure rows,940
Rows after exposure-contract join,940
Unmatched exposure-contract rows,0
Distinct REF_CRDT in central table,793
Central rows without matching customer info,0
Rows with synthetic ID_BCT,793
Rows with missing ID_DOC,636
Rows with missing CODE_DOC,793
Rows with default PM segment,793
Rows with STATUT_DECLR = 1,793
