ID_BCT,TYPE_ID_BCT,CODE_BCT,MONT_ENCR_CRDT,CODE_OPERATION,STATUT_DECLR,DATE_MODIFICATION,DAT_SIT
BCT784751549189,01,0220,992.116,N,1,,20250930
BCT867780545197,01,0220,248.627,N,1,,20250930
BCT151075591338,01,0220,211263.154,N,1,,20250930
BCT932392594811,01,0220,541.314,N,1,,20250930
BCT392409383406,01,0220,260.461,N,1,,20250930
BCT806113736499,01,0220,422.11,N,1,,20250930
BCT586417000600,01,0220,747.128,N,1,,20250930
BCT404626959972,01,0220,1581.081,N,1,,20250930
BCT998574434202,01,0220,699.982,N,1,,20250930
BCT037879003709,01,0220,1472.668,N,1,,20250930
BCT161008933837,01,0220,117.424,N,1,,20250930
BCT783101075144,01,0220,737.056,N,1,,20250930
BCT447324886550,01,0220,897.324,N,1,,20250930
BCT582072093083,01,0220,472.924,N,1,,20250930
BCT014323869335,01,0220,478.709,N,1,,20250930
BCT640534868097,01,0220,995.144,N,1,,20250930
BCT396799015488,01,0220,475.098,N,1,,20250930
BCT536071237020,01,0220,438.554,N,1,,20250930
BCT288433811008,01,0220,2243.245,N,1,,20250930
BCT338982143198,01,0220,608.327,N,1,,20250930
BCT374449830112,01,0220,483.024,N,1,,20250930
BCT328796613429,01,0220,477.509,N,1,,20250930
BCT651999698289,01,0220,61.984,N,1,,20250930
BCT682156366529,01,0220,874.649,N,1,,20250930
BCT678820180960,01,0220,437.002,N,1,,20250930
BCT953231173895,01,0220,425.183,N,1,,20250930
BCT512318312387,01,0220,258.05,N,1,,20250930
BCT283125178161,01,0220,684.058,N,1,,20250930
BCT774788319545,01,0220,469.647,N,1,,20250930
BCT765418357298,01,0220,255.971,N,1,,20250930
BCT926224768014,01,0220,31.805,N,1,,20250930
BCT158593617407,01,0220,167269.867,N,1,,20250930
BCT342781307668,01,0220,412.518,N,1,,20250930
BCT705040380781,01,0220,382.588,N,1,,20250930
BCT012877752125,01,0220,907.237,N,1,,20250930
BCT524991252168,01,0220,437.232,N,1,,20250930
BCT520751891444,01,0220,360.767,N,1,,20250930
BCT293073979107,01,0220,264.644,N,1,,20250930
BCT939905356158,01,0220,1.513,N,1,,20250930
BCT172323547366,01,0220,2473.248,N,1,,20250930
BCT017326864289,01,0220,476.521,N,1,,20250930
BCT008447620540,01,0220,20.03,N,1,,20250930
BCT383986536780,01,0220,26531.597,N,1,,20250930
BCT488912358811,01,0220,284.576,N,1,,20250930
BCT241026638222,01,0220,401.16,N,1,,20250930
BCT647355550122,01,0220,129.071,N,1,,20250930
BCT488009459671,01,0220,2995.043,N,1,,20250930
BCT577523284260,01,0220,495.328,N,1,,20250930
BCT618600374155,01,0220,401.174,N,1,,20250930
BCT966941804144,01,0220,411.193,N,1,,20250930
BCT071060523781,01,0220,499.248,N,1,,20250930
BCT288229478559,01,0220,26.208,N,1,,20250930
BCT818217994731,01,0220,912.287,N,1,,20250930
BCT005355287588,01,0220,731.809,N,1,,20250930
BCT182814532325,01,0220,1440.476,N,1,,20250930
BCT412471023771,01,0220,1151.156,N,1,,20250930
BCT947386090432,01,0220,1308.123,N,1,,20250930
BCT160950447076,01,0220,4152.095,N,1,,20250930
BCT363902238985,01,0220,465.902,N,1,,20250930
BCT721110921849,01,0220,495.023,N,1,,20250930
BCT125267148401,01,0220,372.155,N,1,,20250930
BCT462210624143,01,0220,467.534,N,1,,20250930
BCT530809608464,01,0220,2164.451,N,1,,20250930
BCT491982206196,01,0220,431.118,N,1,,20250930
BCT898959661281,01,0220,279.551,N,1,,20250930
BCT182814532325,01,0220,661.541,N,1,,20250930
BCT587058100528,01,0220,3066.542,N,1,,20250930
BCT111629301079,01,0220,12.713,N,1,,20250930
BCT189149973531,01,0220,4270.157,N,1,,20250930
BCT666187462400,01,0220,705.716,N,1,,20250930
BCT393403140933,01,0220,802.218,N,1,,20250930
BCT893307986750,01,0220,29.709,N,1,,20250930
BCT128687611878,01,0220,1499.85,N,1,,20250930
BCT039373872926,01,0220,803.709,N,1,,20250930
BCT196828332406,01,0220,4110.116,N,1,,20250930
BCT897413175615,01,0220,1103.833,N,1,,20250930
BCT898959661281,01,0220,412.701,N,1,,20250930
BCT797480367185,01,0220,73.737,N,1,,20250930
BCT595586886949,01,0220,1241.575,N,1,,20250930
BCT378569950709,01,0220,947.258,N,1,,20250930
BCT524780654948,01,0220,484.244,N,1,,20250930
BCT821665064165,01,0220,3.118,N,1,,20250930
BCT852768915664,01,0220,2231.615,N,1,,20250930
BCT288229478559,01,0220,265.175,N,1,,20250930
BCT074274645379,01,0220,1067.497,N,1,,20250930
BCT877438114684,01,0220,433.273,N,1,,20250930
BCT688831326170,01,0220,2275.482,N,1,,20250930
BCT370004714357,01,0220,1147.943,N,1,,20250930
BCT729706727137,01,0220,304.614,N,1,,20250930
BCT086595363481,01,0220,1790.962,N,1,,20250930
BCT034672274141,01,0220,353.769,N,1,,20250930
BCT074274645379,01,0220,489.477,N,1,,20250930
BCT223476506607,01,0220,1880.56,N,1,,20250930
BCT369291991437,01,0220,442.63,N,1,,20250930
BCT617187165358,01,0220,941.121,N,1,,20250930
BCT642590493194,01,0220,970.352,N,1,,20250930
BCT301598928588,01,0220,33.468,N,1,,20250930
BCT935541468807,01,0220,3332.481,N,1,,20250930
BCT666209586748,01,0220,269.744,N,1,,20250930
BCT977177295348,01,0220,1173.622,N,1,,20250930
BCT697918225019,01,0220,257.528,N,1,,20250930
BCT265931956675,01,0220,1912.447,N,1,,20250930
BCT776490618113,01,0220,5957.419,N,1,,20250930
BCT034540357289,01,0220,442.449,N,1,,20250930
BCT392306998830,01,0220,1239.61,N,1,,20250930
BCT563648318948,01,0220,1656.132,N,1,,20250930
BCT512318312387,01,0220,4823.751,N,1,,20250930
BCT978315564877,01,0220,1337.953,N,1,,20250930
BCT034540357289,01,0220,890.588,N,1,,20250930
BCT358067452590,01,0220,342.342,N,1,,20250930
BCT028648548474,01,0220,97.008,N,1,,20250930
BCT511276275445,01,0220,459.665,N,1,,20250930
BCT629407958788,01,0220,491.362,N,1,,20250930
BCT421787721590,01,0220,1999.072,N,1,,20250930
BCT250932710290,01,0220,454.226,N,1,,20250930
BCT966513078286,01,0220,5.971,N,1,,20250930
BCT382544079338,01,0220,159.27,N,1,,20250930
BCT313513218563,01,0220,492.167,N,1,,20250930
BCT403710324667,01,0220,435.413,N,1,,20250930
BCT011978776899,01,0220,29.992,N,1,,20250930
BCT483030396521,01,0220,147.696,N,1,,20250930
BCT493985231929,01,0220,2159.921,N,1,,20250930
BCT939599775054,01,0220,770.358,N,1,,20250930
BCT587058100528,01,0220,475.261,N,1,,20250930
BCT867780545197,01,0220,429.085,N,1,,20250930
BCT776490618113,01,0220,0.105,N,1,,20250930
BCT223661913157,01,0220,457.583,N,1,,20250930
BCT307997960776,01,0220,957.851,N,1,,20250930
BCT669693079400,01,0220,495.32,N,1,,20250930
BCT952449209252,01,0220,59.635,N,1,,20250930
BCT856662940140,01,0220,117.6,N,1,,20250930
BCT952449209252,01,0220,447.968,N,1,,20250930
BCT040099813216,01,0220,479.467,N,1,,20250930
BCT335054325227,01,0220,488.811,N,1,,20250930
BCT016735803795,01,0220,641.618,N,1,,20250930
BCT605689650926,01,0220,3158.301,N,1,,20250930
BCT605689650926,01,0220,157.712,N,1,,20250930
BCT968875524774,01,0220,2.286,N,1,,20250930
BCT286190451385,01,0220,499.328,N,1,,20250930
BCT188243198067,01,0220,562.317,N,1,,20250930
BCT127143760967,01,0220,372.947,N,1,,20250930
BCT687342415857,01,0220,22.147,N,1,,20250930
BCT171933751642,01,0220,907.675,N,1,,20250930
BCT032012586644,01,0220,1406.185,N,1,,20250930
BCT661658049207,01,0220,1979.758,N,1,,20250930
BCT239499318503,01,0220,1350.449,N,1,,20250930
BCT661658049207,01,0220,456.078,N,1,,20250930
BCT093577126552,01,0220,1050.551,N,1,,20250930
BCT088826492325,01,0220,3755.741,N,1,,20250930
BCT152370483766,01,0220,70.333,N,1,,20250930
BCT032012586644,01,0220,546.697,N,1,,20250930
BCT088826492325,01,0220,720.522,N,1,,20250930
BCT682790030498,01,0220,36.226,N,1,,20250930
